"sample_id","cell_type_broad","cell_count","proportion"
"591146","B cells",365,0.0339408592151757
"614658","B cells",726,0.0838821490467938
"591146","CD4/Conventional T",3460,0.321740747628789
"614658","CD4/Conventional T",5644,0.65210860774119
"591146","Cytotoxic T",1544,0.143574483912963
"614658","Cytotoxic T",1281,0.148006932409012
"591146","Endothelial",105,0.00976380881532453
"614658","Endothelial",10,0.00115540150202195
"591146","Epithelial",2291,0.213037009484843
"614658","Epithelial",195,0.0225303292894281
"591146","Fibroblast",37,0.0034405802492096
"614658","Fibroblast",0,0
"591146","Interferon-responsive T",0,0
"614658","Interferon-responsive T",145,0.0167533217793183
"591146","Macrophage/Monocyte",177,0.0164589920029756
"614658","Macrophage/Monocyte",0,0
"591146","Mast",607,0.0564441138181142
"614658","Mast",8,0.000924321201617562
"591146","Neutrophil",67,0.00623023991073089
"614658","Neutrophil",0,0
"591146","NK",1341,0.124697786870002
"614658","NK",3,0.000346620450606586
"591146","pDC",18,0.00167379579691278
"614658","pDC",0,0
"591146","Plasma",44,0.0040915008368979
"614658","Plasma",345,0.0398613518197574
"591146","Treg",698,0.0649060814580621
"614658","Treg",298,0.0344309647602542
