"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,10.5393085515414,0.305,0,0,"GRIN2A"
0,9.54844412354132,0.278,0,0,"SOX2"
0,9.3816032890791,0.31,0,0,"MUC15"
0,9.02086213048136,0.297,0,0,"HS6ST2"
0,8.6656024609974,0.275,0,0,"TFAP2D"
0,8.64642768832251,0.298,0,0,"CYP4X1"
0,8.60656070605307,0.28,0,0,"BRINP1"
0,8.41362456044812,0.266,0,0,"ARHGEF38"
0,8.4026971713816,0.263,0,0,"AL138826.1"
0,8.37169401286203,0.389,0.002,0,"SAA1"
0,8.36376117247497,0.676,0.001,0,"EHF"
0,8.32492769833515,0.36,0.001,0,"GSTA1"
0,8.24329788563808,0.876,0.004,0,"CXCL17"
0,8.18290659118697,0.29,0,0,"PIP"
0,8.1118595632118,0.328,0,0,"DNAH5"
0,8.07214651920712,0.364,0,0,"STEAP3"
0,8.0580207407785,0.33,0.001,0,"SRPX2"
0,7.99110312592518,0.557,0.003,0,"TFF3"
0,7.94816263595516,0.748,0.002,0,"SLITRK6"
0,7.93804447912519,0.259,0.003,0,"BPIFB1"
0,7.91197627597933,0.394,0.001,0,"ALOX15B"
0,7.90856198214025,0.738,0.005,0,"CEACAM6"
0,7.88610664525162,0.322,0,0,"PNMA2"
0,7.87495846957775,0.844,0.007,0,"PIGR"
0,7.86382851104879,0.786,0.002,0,"PDZK1IP1"
0,7.85653200861315,0.627,0.001,0,"C5orf38"
0,7.85394907620148,0.256,0,0,"ITGB6"
0,7.79302576263969,0.4,0.001,0,"RGS7BP"
0,7.76541296975252,0.807,0.11,0,"HP"
0,7.75723170528701,0.49,0.001,0,"SLC6A14"
0,7.72960906861881,0.545,0.001,0,"SEZ6L2"
0,7.72513066927159,0.486,0.004,0,"STC1"
0,7.72401795155304,0.724,0.002,0,"FOLR1"
0,7.70820363576904,0.435,0.001,0,"ESRP1"
0,7.69933154256706,0.957,0.047,0,"WFDC2"
0,7.69643233717129,0.621,0.005,0,"SPINK5"
0,7.6957019000011,0.759,0.003,0,"S100A14"
0,7.68790506164882,0.286,0.001,0,"GCNT3"
0,7.6799541102787,0.891,0.01,0,"CP"
0,7.67767247646694,0.894,0.011,0,"AZGP1"
0,7.67409527461388,0.607,0.002,0,"AGR3"
0,7.65870774768969,0.903,0.01,0,"SFTA2"
0,7.63809361692413,0.353,0,0,"C1QL2"
0,7.63660875215963,0.907,0.004,0,"SMIM22"
0,7.63213510853685,0.863,0.014,0,"NAPSA"
0,7.5967427404925,0.723,0.002,0,"BMP3"
0,7.59059818526056,0.381,0.001,0,"TMPRSS2"
0,7.58994904455799,0.521,0.001,0,"LMO3"
0,7.5672992096859,0.711,0.002,0,"GPC4"
0,7.52713882984219,0.331,0,0,"STK32A"
0,7.50276459675732,0.544,0.001,0,"PCP4L1"
0,7.49410148156554,0.914,0.014,0,"AGR2"
0,7.48863245867354,0.52,0.016,0,"BPIFA1"
0,7.47744767686648,0.712,0.002,0,"TMPRSS4"
0,7.4589539180893,0.564,0.004,0,"AQP5"
0,7.45628470935414,0.734,0.033,0,"SFTPB"
0,7.44616173460497,0.884,0.005,0,"TMC5"
0,7.44392039673805,0.918,0.461,0,"SCGB3A1"
0,7.42493640601267,0.903,0.006,0,"FXYD3"
0,7.42303100965333,0.422,0.002,0,"LCN2"
0,7.4145953308848,0.886,0.009,0,"SLC34A2"
0,7.40807683279851,0.64,0.01,0,"IGFBP5"
0,7.38839008774115,0.284,0.001,0,"CLDN1"
0,7.38344871239337,0.299,0.001,0,"KRT15"
0,7.38110786151373,0.605,0.001,0,"IRX3"
0,7.36048811952414,0.258,0.001,0,"ANOS1"
0,7.34314415245324,0.383,0.008,0,"SPINK1"
0,7.32912378984901,0.65,0.002,0,"SDR16C5"
0,7.3115750081402,0.368,0.001,0,"PURPL"
0,7.29798728095978,0.675,0.003,0,"LINC00922"
0,7.29752754535286,0.416,0.001,0,"TFAP2C"
0,7.29594435307957,0.516,0.001,0,"TOX3"
0,7.26155871627693,0.28,0.001,0,"CYP4B1"
0,7.23335928111464,0.341,0.001,0,"SCNN1B"
0,7.23104874212185,0.305,0.001,0,"RNF39"
0,7.23021768753714,0.581,0.001,0,"NKX2-1"
0,7.20992848297782,0.497,0.002,0,"DNAJC12"
0,7.20734795753136,0.779,0.007,0,"CHI3L1"
0,7.2048305278505,0.726,0.003,0,"C16orf89"
0,7.20240484276203,0.592,0.001,0,"AP1M2"
0,7.19933646769981,0.741,0.003,0,"CLDN3"
0,7.18396159465776,0.576,0.001,0,"PPP1R1B"
0,7.17557616299392,0.73,0.008,0,"C19orf33"
0,7.17189533170938,0.807,0.004,0,"TNC"
0,7.15909817821895,0.941,0.015,0,"MGST1"
0,7.1373230489401,0.875,0.017,0,"IGFBP2"
0,7.13150330588929,0.263,0,0,"KRT80"
0,7.13131426126836,0.337,0.001,0,"LAD1"
0,7.11858182114405,0.761,0.003,0,"RAB25"
0,7.11520503917078,0.607,0.002,0,"SFTA3"
0,7.11282697815352,0.789,0.003,0,"TSPAN1"
0,7.11051767113889,0.819,0.005,0,"SDC1"
0,7.10846306100888,0.372,0.001,0,"AFAP1-AS1"
0,7.10692816049855,0.941,0.01,0,"EPCAM"
0,7.09089453958181,0.437,0.001,0,"WNT7B"
