"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,1.5995244964975e-42,6535,958,506,0.528183716075157,0.0774292272379495,"GO:0032502","GO:BP","developmental process",20972,7117,"GO:0008150"
"query_1",TRUE,1.5995244964975e-42,5948,958,476,0.496868475991649,0.0800268997982515,"GO:0048856","GO:BP","anatomical structure development",20972,12247,"GO:0032502"
"query_1",TRUE,8.15267844759529e-40,2014,958,234,0.244258872651357,0.116186693147964,"GO:0009888","GO:BP","tissue development",20972,3587,"GO:0048856"
"query_1",TRUE,7.52453093003313e-38,2699,958,276,0.288100208768267,0.102260096331975,"GO:0009653","GO:BP","anatomical structure morphogenesis",20972,3414,"GO:0032502;GO:0048856"
"query_1",TRUE,5.84137933410239e-36,9051,958,610,0.636743215031315,0.067395867859905,"GO:0050896","GO:BP","response to stimulus",20972,12476,"GO:0008150"
"query_1",TRUE,1.71593707189096e-35,4690,958,389,0.406054279749478,0.0829424307036247,"GO:0007275","GO:BP","multicellular organism development",20972,2666,"GO:0032501;GO:0048856"
"query_1",TRUE,4.14366376111464e-35,4023,958,350,0.365344467640919,0.0869997514292816,"GO:0048731","GO:BP","system development",20972,12138,"GO:0007275;GO:0048856"
"query_1",TRUE,2.32202051601444e-34,1532,958,188,0.196242171189979,0.122715404699739,"GO:0016477","GO:BP","cell migration",20972,4977,"GO:0048870"
"query_1",TRUE,1.11813676224685e-33,1234,958,164,0.171189979123173,0.13290113452188,"GO:0060429","GO:BP","epithelium development",20972,13632,"GO:0009888"
"query_1",TRUE,1.19100182764974e-33,1512,958,185,0.193110647181628,0.122354497354497,"GO:0007155","GO:BP","cell adhesion",20972,2585,"GO:0009987"
"query_1",TRUE,2.29942241813319e-32,7337,958,518,0.54070981210856,0.0706010631048112,"GO:0032501","GO:BP","multicellular organismal process",20972,7116,"GO:0008150"
"query_1",TRUE,8.04098121669284e-32,4443,958,365,0.381002087682672,0.0821516993022732,"GO:0030154","GO:BP","cell differentiation",20972,6252,"GO:0048869"
"query_1",TRUE,8.04098121669284e-32,4444,958,365,0.381002087682672,0.0821332133213321,"GO:0048869","GO:BP","cellular developmental process",20972,12259,"GO:0009987;GO:0032502"
"query_1",TRUE,3.92997567109593e-31,1794,958,200,0.208768267223382,0.111482720178372,"GO:0048870","GO:BP","cell motility",20972,12260,"GO:0009987"
"query_1",TRUE,1.60147720631914e-30,1094,958,147,0.153444676409186,0.13436928702011,"GO:0035295","GO:BP","tube development",20972,8374,"GO:0007275;GO:0048856"
"query_1",TRUE,2.86682078072498e-29,7425,958,513,0.535490605427975,0.0690909090909091,"GO:0051716","GO:BP","cellular response to stimulus",20972,12983,"GO:0009987;GO:0050896"
"query_1",TRUE,4.5840343226738e-28,3018,958,272,0.2839248434238,0.0901259111994698,"GO:0048513","GO:BP","animal organ development",20972,11949,"GO:0048856"
